"Wavelength","Semrock FF01-400/40","Semrock FF01-470/28","Semrock FF01-532/18","Chroma 51000bs","pco.edge 4.2","Omicron LedHUB 405nm LED","Omicron LedHUB 475nm LED","Omicron LedHUB 530nm LED"
338,6.0947997e-8,6.7229001e-7,1e-7,,0.126562553329297,0,0,-0.000478455120759285
339,4.0684e-8,8.3215002e-7,1e-7,,0.128455542236888,0,0,-0.000478455120759285
340,2.7158e-8,7.2761998e-7,1e-7,,0.130391851403339,0,0,-0.000478455120759285
341,2.5931e-8,3.6773e-7,1e-7,,0.132610514473849,0,0,-0.000478455120759285
342,2.5074e-8,1.8583999e-7,1e-7,,0.135263871692918,0,0,-0.000478455120759285
343,2.4245001e-8,9.3921997e-8,1e-7,,0.138417569904357,0,0,-0.000478455120759285
344,2.3444001e-8,1.3155e-7,1.2705e-7,,0.142041305816905,0,0,-0.000478455120759285
345,2.2668999e-8,2.6359001e-7,1.6176e-7,,0.146040641001107,0,0,-0.000478455120759285
346,2.9548e-8,5.1421e-7,2.0597e-7,,0.150235705958051,0,0,-0.000478455120759285
347,3.8932999e-8,4.0894e-7,2.3084e-7,,0.154354517265812,0,0,-0.000478455120759285
348,5.1299001e-8,3.2521001e-7,1.8129001e-7,,0.158460093241952,0,0,-0.000478455120759285
349,6.7591998e-8,2.5863e-7,1.4237e-7,,0.162612120148907,0,0,-0.000478455120759285
350,8.9060997e-8,2.0081001e-7,1.1181e-7,,0.166770810289966,0,0,-0.000478455120759285
351,6.8779002e-8,1.5006999e-7,1.0333e-7,,0.170900578037263,0,0,-0.000478455120759285
352,5.2036999e-8,1.1215e-7,1.0982e-7,,0.174970039831777,0,0,-0.000478455120759285
353,3.9370001e-8,8.3808999e-8,1.1671e-7,,0.178972991434733,0,0,-0.000478455120759285
354,2.9785999e-8,1.0275e-7,1.2404e-7,,0.182918810977443,0,0,-0.000478455120759285
355,2.2536e-8,1.499e-7,1.5537999e-7,,0.1868527609034,0,0,-0.000478455120759285
356,2.2497e-8,2.1418001e-7,2.0208e-7,,0.190820102417772,0,0,-0.000478455120759285
357,2.2705001e-8,1.5950999e-7,2.6283001e-7,,0.194859432112446,0,0,-0.000478455120759285
358,2.2915e-8,1.1879e-7,3.3508999e-7,,0.198964817469222,0,0,-0.000478455120759285
359,9.1213003e-8,8.8466997e-8,3.5015e-7,,0.203113861152679,0,0,-0.000478455120759285
360,0.0000027486999,7.333e-8,3.6589e-7,,0.207266657873607,0,0,-0.000478455120759285
